,Open,High,Low,Close,Volume
11/21/2025,265.95,273.33,265.67,271.49,59030832
11/24/2025,270.9,277,270.9,275.92,65585796
11/25/2025,275.27,280.38,275.25,276.97,46914220
11/26/2025,276.96,279.53,276.63,277.55,33431423
11/28/2025,277.26,279,275.9865,278.85,20135620
12/1/2025,278.01,283.42,276.14,283.1,46587722
12/2/2025,283,287.4,282.6301,286.19,53669532
12/3/2025,286.2,288.62,283.3,284.15,43538687
12/4/2025,284.095,284.73,278.59,280.7,43989056
12/5/2025,280.54,281.14,278.05,278.78,47265845
12/8/2025,278.13,279.6693,276.15,277.89,36406317
12/9/2025,278.16,280.03,276.92,277.18,31753410
12/10/2025,277.75,279.75,276.44,278.78,33038318
12/11/2025,279.095,279.59,273.81,278.03,33247986
12/12/2025,277.9,279.22,276.82,278.28,39532887
12/15/2025,280.15,280.15,272.84,274.11,50409078
12/16/2025,272.82,275.5,271.79,274.61,37648628
12/17/2025,275.01,276.16,271.64,271.84,50138743
12/18/2025,273.605,273.63,266.95,272.19,51630721
12/19/2025,272.145,274.6,269.9,273.67,144632048
12/22/2025,272.86,273.88,270.505,270.97,36571827
12/23/2025,270.84,272.5,269.56,272.36,29641999
12/24/2025,272.34,275.43,272.195,273.81,17910574
12/26/2025,274.16,275.37,272.86,273.4,21521802
12/29/2025,272.69,274.36,272.35,273.76,23715213
12/30/2025,272.81,274.08,272.28,273.08,22139617
12/31/2025,273.06,273.68,271.75,271.86,27293639
1/2/2026,272.255,277.84,269,271.01,37838054
1/5/2026,270.64,271.51,266.14,267.26,45647190
1/6/2026,267,267.55,262.12,262.36,52352090
1/7/2026,263.2,263.68,259.81,260.33,48309804
1/8/2026,257.02,259.29,255.7,259.04,50419337
1/9/2026,259.075,260.21,256.22,259.37,39996967
1/12/2026,259.16,261.3,256.8,260.25,45263767
1/13/2026,258.72,261.81,258.39,261.05,45730847
1/14/2026,259.49,261.82,256.71,259.96,40019421
1/15/2026,260.65,261.04,257.05,258.21,39388564
1/16/2026,257.9,258.9,254.93,255.53,72142773
1/20/2026,252.73,254.79,243.42,246.7,77280987
1/21/2026,248.7,251.56,245.18,247.65,54641725
1/22/2026,249.2,251,248.15,248.35,39708340
1/23/2026,247.32,249.41,244.68,248.04,41688982
1/26/2026,251.48,256.56,249.8,255.41,55969234
1/27/2026,259.17,261.95,258.21,258.27,48787855
1/28/2026,257.65,258.855,254.51,256.44,41287971
1/29/2026,258,259.65,254.41,258.28,67253009
1/30/2026,255.165,261.8999,252.18,259.48,92443408
2/2/2026,260.03,270.49,259.205,270.01,73913425
2/3/2026,269.2,271.875,267.61,269.48,63799388
2/4/2026,272.285,278.95,272.285,276.49,90545710
2/5/2026,278.13,279.5,273.23,275.91,52977441
2/6/2026,277.12,280.905,276.925,278.12,50453414
2/9/2026,277.905,278.2,271.7,274.62,44623396
2/10/2026,274.885,275.37,272.94,273.68,34376898
2/11/2026,274.695,280.18,274.45,275.5,51931283
2/12/2026,275.59,275.72,260.18,261.73,81077229
2/13/2026,262.01,262.23,255.45,255.78,56290673
2/17/2026,258.05,266.29,255.54,263.88,58469094
2/18/2026,263.6,266.82,262.45,264.35,34203337
2/19/2026,262.6,264.48,260.05,260.58,30845294
2/20/2026,258.97,264.75,258.16,264.58,42070499
2/23/2026,263.49,269.43,263.381,266.18,37308155
2/24/2026,267.86,274.89,267.71,272.14,47014619
2/25/2026,271.78,274.94,271.05,274.23,33714342
2/26/2026,274.945,276.11,270.795,272.95,32345114
2/27/2026,272.81,272.81,262.89,264.18,72366505
3/2/2026,262.41,266.53,260.2,264.72,41827946
3/3/2026,263.48,265.56,260.13,263.75,38568921
3/4/2026,264.65,266.15,261.42,262.52,39803119
3/5/2026,260.79,261.555,257.25,260.29,49658626
3/6/2026,258.63,258.77,254.37,257.46,41120042
3/9/2026,255.69,261.15,253.6805,259.88,38218533
3/10/2026,257.645,262.48,256.95,260.83,30590765
3/11/2026,261.09,262.13,259.55,260.81,26218927
3/12/2026,258.66,258.95,254.18,255.76,40794020
3/13/2026,255.48,256.33,249.52,250.12,36929988
3/16/2026,252.105,253.885,249.88,252.82,32074209
3/17/2026,252.955,255.13,252.18,254.23,32361607
3/18/2026,252.625,254.94,249,249.94,35757874
3/19/2026,249.4,251.83,247.3,248.96,34864082
3/20/2026,247.975,249.1999,246,247.99,88331081
3/23/2026,253.97,254.6,250.28,251.49,40546109
3/24/2026,250.35,254.825,249.55,251.64,45152288
3/25/2026,254.095,255,251.6,252.62,28476668
3/26/2026,252.115,257,250.77,252.89,41796650
3/27/2026,253.9,255.493,248.07,248.8,47899998
3/30/2026,250.07,250.87,245.51,246.63,39446213
3/31/2026,247.91,255.48,247.101,253.79,49598091
4/1/2026,254.08,256.18,253.33,255.63,40059432
4/2/2026,254.2,256.13,250.65,255.92,31289369
4/6/2026,256.51,262.16,256.46,258.86,29329911
4/7/2026,256.155,256.2,245.7,253.5,62148008
4/8/2026,258.45,259.7499,256.53,258.9,41032772
4/9/2026,259,261.12,256.07,260.49,28121574
4/10/2026,259.98,262.19,259.0231,260.48,31291473
4/13/2026,259.73,260.18,256.66,259.2,36234698
4/14/2026,259.245,261.93,257.19,258.83,48370710
4/15/2026,258.16,266.56,257.81,266.43,49913510
4/16/2026,266.8,267.16,261.27,263.4,43323112
4/17/2026,266.96,272.3,266.72,270.23,61436228
